CAT: CAPITAL - COUNTRY
DIFF: EASY
BUENOS AIRES,ARGENTINA
CALIFORNIA, SANTA BARBARA
KING'S COLLEGE LONDON
CALIFORNIA, SAN DIEGO
AUSTRALIAN NATIONAL UNIVERSITY
SEOUL NATIONAL UNIVERSITY
HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY
KOREA ADVANCED INSTITUE OF SCIENCE AND TECHNOLOGY
CALIFORNIA, DAVIS
PENNSYLVANIA STATE UNIVERSITY
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY
OHIO STATE UNIVERSITY
DELFT UNIVERSITY OF TECHNOLOGY
ERASMUS UNIVERSITY ROTTERDAM
WAGENINGEN UNIVERSITY AND RESEARCH CENTER
HUMBOLDT UNIVERSITY OF BERLIN
FREE UNIVERSITY OF BERLIN
MICHIGAN STATE UNIVERSITY
MIDDLE EAST TECHNICAL UNIVERSITY
CALIFORNIA, IRVINE
TECHNICAL UNIVERSITY OF MUNICH
QUEEN MARY UNIVERSITY OF LONDON
CALIFORNIA, SANTA CRUZ
CASE WESTERN RESERVE UNIVERSITY
TECHNICAL UNIVERSITY OF DENMARK
BOSTON COLLEGE
KTH ROYAL INSTITUE OF TECHNOLOGY
CHINESE UNIVERSITY OF HONG KONG
MARYLAND, COLLEGE PARK
TRINITY COLLEGE DUBLIN
COLORADO SCHOOL OF MINES
TEXAS A&M UNIVERSITY
TOKYO INSTITUTE OF TECHNOLOGY
EIDHOVEN UNIVERSITY OF TECHNOLOGY
CALIFORNIA, RIVERSIDE
NATIONAL TAIWAN UNIVERSITY
ISTANBUL TECHNICAL UNIVERSITY
KARLSRUHE INSTITUTE OF TECHNOLOGY
ARIZONA STATE UNIVERSITY
CITY UNIVERSITY OF HONG KONG
IOWA STATE UNIVERSITY
LOMONOSOV MOSCOW STATE UNIVERSITY
ST GEORGE'S UNIVERSITY OF LONDON
FLORIDA INSTITUTE OF TECHNOLOGY
DIFF: MEDIUM
EAST ANGLIA
LEICESTER
BONN
FUDAN
OSLO
SABANCI
NORTHEASTERN
VIENNA
GEORGETOWN
VICTORIA
AUCKLAND
POMPEU FABRA
TOHOKU
MIAMI
ANTWERP
NOTTINGHAM
UNIVERSITE CATHOLIQUE DE LOUVAIN
RWTH AACHEN UNIVERSITY
AARHUS
DARTMOUTH COLLEGE
RUTGERS
LEEDS
BRANDEIS
VU UNIVERSITY AMSTERDAM
SOUTHAMPTON
TU DRESDEN
LAUSANNE
BERN
VIRGINIA
LANCASTER
FLORIDA
ROCHESTER
SHEFFIELD
ALBERTA
CAPE TOWN
GRONINGEN
NEW SOUTH WALES
ST ANDREWS
GENEVA
UPPSALA
ARIZONA
NOTRE DAME
TUFTS
HONG KONG
MINNESOTA
EDINBURGH
MELBOURNE
TOKYO
PENNSYLVANIA
MICHIGAN
TORONTO
OXFORD
PRINCETON
HARVARD
YALE
ETH ZURICH
COLUMBIA
JOHNS HOPKINS
CORNELL
NORTHWESTERN
CARNEGIE MELLON
LMU MUNICH
WISCONSIN-MADISON
BRITISH COLUMBIA
NEW YORK
MCGILL
KAROLINSKA INSTITUTE
TSINGHUA
BROWN
MANCHESTER
BOSTON
SYDNEY
ECOLE POLYTECHNIQUE
SCUOLA NORMALE SUPERIORE DI PISA
LEIDEN
QUEENSLAND
GOTTINGEN
RICE
HEIDELBERG
BRISTOL
BASEL
SOUTHERN CALIFORNIA
AMSTERDAM
ECOLE NORMALE SUPERIEURE
UTRECHT
DURHAM
MONASH
GHENT
MASSACHUSETTS
PITTSBURGH
MCMASTER
GLASGOW
VANDERBILT
COLORADO BOULDER
STOCKHOLM
MAASTRICHT
PURDUE
PIERRE AND MARIE CURIE
HELSINKI
ZURICH
MONTREAL
TUBINGEN
PARIS-SUD
RADBOUD UNIVERSITY NIJMEGEN
BIRMINGHAM
INDIANA, BLOMMINGTON
LIVERPOOL
WESTERN AUSTRALIA
COPENHAGEN
ECOLE NORMALE SUPERIEURE DE LYON
FREIBURG
ADELAIDE
SYRACUSE
JOSEPH FOURIER
ABERDEEN
PARIS DIDEROT
DELAWARE
STONY BROOK
TEL AVIV
OTTAWA
BUFFALO
DIFF: HARD
YESHIVA
IOWA
UTAH
OSAKA
EXETER
SUNGKYUNKWAN
BOGAZICI
LUND
YORK
SUSSEX
WARWICK
DUKE
PEKING
KU LEUVEN
KYOTO
EMORY
CAT: HOLIDAYS AROUND THE WORLD
DIFF: EASY
NEW YEAR'S DAY
TEACHER'S DAY
MOTHER'S DAY
APRIL FOOL'S DAY
CATHOLIC EASTER
CHILDREN'S DAY
INDEPENDENCE DAY
LIBERATION DAY
NATIONAL YOUTH DAY
CHRISTMAS DAY
CHRISTMAS EVE
CONSTITUTION DAY
INTERNATIONAL WORKERS' DAY
FAMILY DAY
REPUBLIC DAY
EASTER MONDAY
NATIONAL DAY
INTERNATIONAL WOMEN'S DAY
NATIONAL SALVATION DAY
ARMED FORCES DAY
INTERNATIONAL LABOR DAY
LABOUR DAY
HALLOWEEN
GOOD FRIDAY
EASTER SUNDAY
NATIONAL FLAG DAY
GRANDPARENTS DAY
NEW YEAR'S EVE
SAINT PATRICK'S DAY
INTERNATIONAL HOLOCAUST REMEMBRANCE DAY
MEMORIAL DAY
FREEDOM DAY
EARTH DAY
ISLAMIC NEW YEAR
CHINESE NEW YEAR
HUMAN RIGHTS DAY
MID-AUTUMN FESTIVAL
NATIONAL FOUNDATION DAY
CONSTITUTION MEMORIAL DAY
THANKSGIVING DAY
VALENTINE'S DAY
COMMONWEALTH DAY
FATHER'S DAY
DIFF: MEDIUM
INDIGENOUS PEOPLE'S DAY
TIRADENTES
WORLD RELIGION DAY
JAVANESE ARRIVAL DAY
VETERANS DAY
INAUGURATION DAY
INDIAN ARRIVAL DAY
SUPER BOWL DAY
MARDI GRAS
DAY OF THE DEAD
GUANACASTE DAY
COLUMBUS DAY
GARIFUNA SETTLEMENT DAY
DAEBOREUM
COPTIC CHRISTMAS
COPTIC EASTER
MILITARY FOUNDATION DAY
SEOTDAL GEUMEUM
SEOLLAL
TREE PLANTING DAY
CHOSONGUL DAY
CULTURE DAY
HEALTH AND SPORTS DAY
AUTUMNAL EQUINOX DAY
RESPECT FOR THE AGED DAY
GREENERY DAY
MOUNTAIN DAY
MARINE DAY
ARBOR DAY
ZHONGHE FESTIVAL
YOUTH DAY
DRAGON BOAT FESTIVAL
TOMB-SWEEPING DAY
SPRING FESTIVAL
WATER FESTIVAL
PARIS PEACE AGREEMENT DAY
PCHUM BEN FESTIVAL
LANTERN FESTIVAL
NATIONAL MOURNING DAY
BUDDHA'S BIRTHDAY
DAY OF ASHURA
ACCESSION DAY
CARNIVAL
KING'S DAY
SAINT DEVOTA'S DAY
LIMBA NOASTRA
ASH WEDNESDAY
BEER DAY
OCHI DAY
COMMERCE DAY
ANNUNCIATION
REFORMATION DAY
GERMANY UNITY DAY
DAY OF NATIONAL UNITY
BASTILLE DAY
VICTORY IN EUROPE DAY
RESISTANCE FIGHTING DAY
BOXING DAY
DORMITION OF THE THEOTOKOS
HOLY SATURDAY
CLEAN MONDAY
STATEHOOD DAY
ANTI-FASCIST STRUGGLE DAY
SAINTS CYRIL AND METHODIUS DAY
NATIONAL AWAKENING DAY
UNIFICATION DAY
SAINT GEORGE'S DAY
DAYTON AGREEMENT DAY
KING'S FEAST
ALL SOULS' DAY
ASSUMPTION OF MARY
ARMISTICE DAY
COMMEMORATION DAY
OCTOBER REVOLUTION DAY
ORTHODOX CHRISTMAS
RAMAZAN BAYRAMI
GURBAN BAYRAMI
VICTORY DAY
MARTYR'S DAY
SAINT STEPHEN'S DAY
ALL SAINTS' DAY
WHIT MONDAY
PENTECOST
CORPUS CHRISTI
ASCENSION DAY
EPIPHANY
VICTORY AND PEACE DAY
GENOCIDE REMEMBRANCE DAY
MOTHER LANGUAGE DAY
ARMY DAY
ORTHODOX EASTER
MAY DAY
MOTHER TERESA DAY
EID UL-ADHA
EID UL-FITR
SAINT WENCESLAS DAY
MAUNDY THURSDAY
FASTELAVN
PALM SUNDAY
SAINT MARTIN'S DAY
SAINT LUCY'S DAY
MIDSUMMER DAY
FERRAGOSTO
IMMACULATE CONCEPTION
SAINT BERCHTOLD'S DAY
CANDLEMAS
SHROVE TUESDAY
SAINT JOSEPH'S DAY
WHIT SUNDAY
NATIVITY OF MARY
SETTE GIUGNO
PESACH
LAYLAT AL-BARA'AT
ROSH HASHANAH
MADERIA DAY
TATIANA DAY
SPORTS DAY
SAINT SAVA DAY
SAINT VITUS DAY
PRESEREN DAY
SOVEREIGNITY DAY
RUDOLF MAISTER DAY
TWELFTH NIGHT
ALL SAINTS' EVE
WHITSUN EVE
ORANGEMAN'S DAY
LINLITHGOW MARCHES
LANIMER DAY
EUROPE DAY
DAY OF ARAFAT
NYINLONG
LOSAR
SHABDRUNG KURCHOE
PARINIRVANA DAY
DASHAIN
LHABAB DUCHEN
ROYAL PLOUGHING CEREMONY
SHO DUN FESTIVAL
NATIONAL HEROES' DAY
NATIONAL POLICE DAY
SINAI LIBERATION DAY
SHAM EL NESSIM
VASANT PANCHAMI
RATHA SAPTAMI
MAHA SHIVATATRI
RAM NAVAMI
HANUMAN JAYANTI
NAG PANCHAMI
RAKSHA BANDHAN
GANESH CHATURTHI
MAHALAYA
DUSSEHRA
NUAKHAI
BATHUKAMMA
MID-SHA'BAN
BUDDHA PURNIMA
PARYUSHAN
FAST OF GEDALIA
CHOL HAMOED
MIMOUNA
COMING OF AGE DAY
CHOPALI
SURINAL
KNOWLEDGE DAY
SAINT MAROUN DAY
SAINT VARTAN DAY
THAIPUSAM
MERDEKA DAY
TSAGAAN SAR
NAADAM HOLIDAY
MAGHE SANKRANTI
RENAISSANCE DAY
MILAD AL-NABI
DEFENCE DAY
BONIFACIO DAY
THAI PONGAL
EVACUATION DAY
DAY OF NEUTRALITY
MELON DAY
NDADAYE DAY
BOGANDA DAY
AFRICA DAY
RENOVATION DAY
FOUNDER'S DAY
MADARAKA DAY
MOSHOESHOE DAY
ENTHRONEMENT
OUED ED-DAHAB DAY
GREEN MARCH
CASSINGA DAY
DAY OF GOODWILL
CONCORD DAY
HERITAGE DAY
SABA SABA DAY
NANE NANE DAY
FARMERS' DAY
EMANCIPATION DAY
ERROL BARROW DAY
BARON BLISS DAY
DIFF: HARD
ZANZIBAR REVOLUTION DAY
UGADI
KAMUZU DAY
JOHN CHILEMBWE DAY
JAMHURI DAY
MASHUJAA DAY
FENKIL DAY
RWAGASORE DAY
FETE DU VODOUN
WAN OK PHANSA
ASALHA PUJA
NAVRUZ
RIZAL DAY
IQBAL DAY
GAIJATRA
TEEJ
INDRA JATRA
GAWAI DAYAK
WESAK DAY
CHILSEOK
BAEKJUNG
DONGJI
HANGAWI
SAMJINNAL
HANSIK
SHOWA DAY
VERNAL EQUINOX DAY
SHAVUOT
TISHA B'AV
TU B'AV
YOM HAZIKARON
YOM HA-ATZMAUT
TU BISHVAT
HANUKKAH
SIGD
SUKKOT
SIZDAH BEDAR
NYEPI
AYYA VAIKUNDA AVATARAM
MAHAVIR JAYANTI
VAISAKHI
BONALU
CHHATH PUJA
JAGADDHATRI PUJA
VISHWAKARMA PUJA
DIWALI
KUMARA PURNIMA
RAJA PARBA
ONAM
RATH JATRA
HOLI
GANDHI JAYANTHI
QINGMING FESTIVAL
VESAK DAY
NUZUL AL-QURAN
DURGA PUJA
KRISHNA JANMASHTAMI
MUJAHIDEEN VICTORY DAY
JEUNE GENEVOIS
WALPURGIS NIGHT
PRIMROZ TRUBAR DAY
DOBRUJA DAY
BUCOVINA DAY
AZORES DAY
LAYLAT AL-QADR
ISRA AND MI'RAJ
YOM KIPPUR
JAN HUS DAY
NEVRUZ DAY
NOVRUZ
NOWRUZ
KUPALLE
DZIADY
MAWLID
SLAVA
CAT: PHOBIAS
DIFF: EASY
AQUAPHOBIA
ARACHNOPHOBIA
AUTOPHOBIA
AVIOPHOBIA
CLAUSTROPHOBIA
HELIOPHOBIA
HEMOPHOBIA
MECHANOPHOBIA
METHYPHOBIA
MONOPHOBIA
NECROPHOBIA
NEOPHOBIA
NUMEROPHOBIA
PHARMACOPHOBIA
PHOBOPHOBIA
PYROPHOBIA
RADIOPHOBIA
SOCIOPHOBIA
TECHNOPHOBIA
THALASSOPHOBIA
ZOOPHOBIA
DIFF: MEDIUM
BIBILOPHOBIA
LIPOPHOBIA
PHOTOPHOBIA
THANATIPHOBIA
THEOPHOBIA
THERMOPHOBIA
TETRAPHOBIA
SPECTROPHOBIA
STASIPHOBIA
PHONOPHOBIA
POGONOPHOBIA
PORNOPHOBIA
PROSOPHOBIA
PUPAPHOBIA
PHASMOPHOBIA
PHILOPHOBIA
NOMOPHOBIA
NOSOCOMEPHOBIA
NOSOPHOBIA
NOSTOPHOBIA
MUSOPHOBIA
MELANOPHOBIA
MELISSOPHOBIA
ABLUTOPHOBIA
ACOUSTICOPHOBIA
ACROPHOBIA
AGORAPHOBIA
AGRAPHOBIA
AICHMOPHOBIA
AILUROPHOBIA
ALGOPHOBIA
AMYCHOPHOBIA
ANTHOPHOBIA
ANTHROPOPHOBIA
ANTLOPHOBIA
ASTRAPHOBIA
ATELOPHOBIA
ATYCHIPHOBIA
AUTOMATONOPHOBIA
BAROPHOBIA
BATHMOPHOBIA
CHAETOPHOBIA
CHEMOPHOBIA
CHIROPTOPHOBIA
CHLOROPHOBIA
CHROMOPHOBIA
CHRONOPHOBIA
CHRYSOPHOBIA
CIBOPHOBIA
CLEITHROPHOBIA
CLIMACOPHOBIA
COIMETROPHOBIA
COLORPHOBIA
COPROPHOBIA
COULROPHOBIA
CYANOPHOBIA
CYBERPHOBIA
CYNOPHOBIA
DECIDOPHOBIA
DEMENTOPHOBIA
DEMONOPHOBIA
DENDROPHOBIA
DENTOPHOBIA
DYSMORPHOPHOBIA
ECCELSIOPHOBIA
EUROTOPHOBIA
ELEUTHEROPHOBIA
EMETOPHOBIA
ERGOPHOBIA
EROTOPHOBIA
ERYTHOPHOBIA
FRIGOPHOBIA
GAMOPHOBIA
GELOTOPHOBIA
GENOPHOBIA
GERASCOPHOBIA
GERONTOPHOBIA
GLOBOPHOBIA
GLOSSOPHOBIA
HAILTOPHOBIA
HAPHEPHOBIA
HEDONOPHOBIA
HOPLOPHOBIA
HYLOPHOBIA
HYPNOPHOBIA
ICHTHYOPHOBIA
KINETOPHOBIA
LEUKOPHOBIA
LILAPSOPHOBIA
MARCOPHOBIA
MYSOPHOBIA
NYCTOPHOBIA
OMPHALOPHOBIA
ONEIROPHOBIA
OPHTHALMOPHOBIA
OSMOPHOBIA
PANPHOBIA
PENIAPHOBIA
PEDIOPHOBIA
PHAGOPHOBIA
PHALLOPHOBIA
SCRIPTOPHOBIA
SCOPOPHOBIA
SIDERODROMOPHOBIA
TAPHOPHOBIA
TRAUMATOPHOBIA
TRYPANOPHOBIA
TRYPOPHOBIA
TUROPHOBIA
TYRANNOPHOBIA
URANOPHOBIA
XENOPHOBIA
APIPHOBIA
BATRACHOPHOBIA
ENTOMOPHOBIA
HERPETOPHOBIA
MUROPHOBIA
OPHIDIOPHOBIA
ORNITHOPHOBIA
RANIDAPHOBIA
SCOLECIPHOBIA
SELACHOPHOBIA
DIFF: HARD
EQUINOPHOBIA
XANTHOPHOBIA
XYLOPHOBIA
TRISKAIDEKAPHOBIA
TOKOPHOBIA
TOXIPHOBIA
STYGIOPHOBIA
SEXOPHOBIA
SANGUIVORIPHOBIA
OIKOPHOBIA
MYRMECOPHOBIA
KLEPTOPHOBIA
KOINONIPHOBIA
HEXAKOSIOIKEXEKONTAHEXAPHOBIA
HARPAXOPHOBIA
GYMNOPHOBIA
GYNOPHOBIA
AMAXOPHOBIA
AGYROPHOBIA
AGRIZOOPHOBIA
GEPHYROPHOBIA
CAT: DISEASES AND CONDITIONS
DIFF: EASY
ABDOMINAL DEFECTS
ACID MALTASE DEFICIENCY
ACQUIRED IMMUNE DEFICIENCY SYNDROME
ADRENAL DISORDER
ADRENAL CANCER
ALBINISM
ALCOHOL DEPENDENCE
ALUMINIUM LUNG
ALZHEIMER'S DISEASE
AMNESIA
ANOREXIA NERVOSA
ANTISOCIAL PERSONALITY DISORDER
APPENDICITIS
ARSENIC POISONING
ARTHRITIS
ASTHMA
ASTIGMATISM
ATHLETE'S FOOT
ATTENTION DEFICIT HYPERACTIVITY DISORDER
AUTISM
BIPOLAR DISORDER
BONE MARROW FAILURE
BORDERLINE PERSONALITY DISORDER
BREAST CANCER
BRONCHITIS
BROWN SYNDROME
BUBONIC PLAGUE
BULIMIA NERVOSA
BURNING MOUTH SYNDROME
CANNABIS DEPENDENCE
CARDIAC ARREST
CARPAL TUNNEL SYNDROME
CARPENTER SYNDROME
CATARACT
CEREBRAL PALSY
CERVICAL CANCER
CHICKENPOX
CHOLERA
CHOLESTEROL PNEUMONIA
CHRISTMAS DISEASE
CHROMOSOMAL TRIPLICATION
CLEFT LIP
COCAINE DEPENDENCE
COLLAGEN DISORDER
COLOR BLINDNESS
COMMON COLD
CONSTITUTIONAL GROWTH DELAY
CORONARY HEART DISEASE
CYANIDE POISONING
CYSTIC FIBROSIS
DEAFNESS
DECOMPRESSION SICKNESS
DELUSIONAL DISORDER
DEMENTIA
DENGUE FEVER
DEPENDENT PERSONALITY DISORDER
DEPRESSIVE PERSONALITY DISORDER
DIABETES INSIPIDUS
DIABETES MELLITUS
DOWN SYNDROME
EPILEPSEY
FACIAL CLEFT
FORMALDEHYDE POISONING
FRUCTOSE INTOLERANCE
GENDER DYSPHORIA
GENERALIZED ANXIETY DISORDER
GINGIVITIS
GLYCOGEN STORAGE DISEASE
GROWTH HORMONE DEFICIENCY
HAND, FOOT AND MOUTH DISEASE
HEADACHES
HEARING DISORDER
HEARING IMPAIRMENT
HEARING LOSS
HEART ATTACK
HEAVY METAL POISONING
HEMORRHAGIC FEVER
HEPATITIS
HIP DISLOCATION
HUNTINGTON'S DISEASE
HYPERTENSION
HYPOTHERMIA
INFLAMMATORY BREAST CANCER
INHALANT ABUSE
IRON DEFICIENCY
IRRITABLE BOWEL SYNDROME
LEAD POISONING
LEUKEMIA
LUNG CANCER
MAD COW DISEASE
MALARIA
MEASLES
MEDITERRANEAN FEVER
MENTAL RETARDATION
MERCURY POISONING
METABOLIC DISORDER
MIGRAINES
MOTOR NEURON DISEASE
MULTIPLE ORGAN FAILURE
NARCISSISTIC PERSONALITY DISORDER
NEURAL TUBE DEFECTS
NICOTINE WITHDRAWAL
NIGHT BLINDNESS
OBSESSIVE-COMPULSIVE DISORDER
OBSESSIVE-COMPULSIVE PERSONALITY DISORDER
OCCUPATIONAL ASTHMA
OPIOID DEPENDENCE
OSTEOPOROSIS
OVARIAN CANCER
PANCREATIC CANCER
PANCREATIC DISEASES
PANIC DISORDER
PARANOID PERSONALITY DISORDER
PARKINSON'S DISEASE
PASSIVE-AGGRESSIVE PERSONAILTY DISORDER
PEANUT HYPERSENSITIVITY
PELVIC INFLAMMATORY DISEASE
PERCEPTUAL DISORDER
PREIPHERAL NERVOUS DISORDER
PLACENTA DISORDER
PLATELET DISORDER
PNEUMONIA
POST TRAUMATIC STRESS DISORDER
POTASSIUM DEFICIENCY
PREMATURE AGING
PROCESSING DISORDER
PROCRASTINATION
PROSTATE CANCER
PROTEIN-ENERGY MALNUTRITION
REACTIVE ATTACHMENT SYNDROME
RENAL CANCER
RENAL FAILURE
RETROGRADE AMNESIA
RHEUMATISM
SADISTIC PERSONALITY DISORDER
SEASONAL AFFECTIVE DISORDER
SELF-DEFEATING PERSONALITY DISORDER
SENSORY PROCESSING DISORDER
SEVERE ACUTE RESPIRATORY SYNDROME
SEVER COMBINED IMMUNODEFICIENCY
SHELLFISH POISONING
SKIN PEELING SYNDROME
SLEEPWALKING DISORDER
SPINAL CORD INJURY
STOMACH CANCER
SUCROSE INTOLERANCE
SUDDEN CARDIAC DEATH
TASTE DISORDER
THYROID CANCER
TUBERCULOSIS
VITAMIN DEFICIENCY
WHEAT HYPERSENSITIVITY
WHOOPING COUGH
YELLOW FEVER
DIFF: MEDIUM
YELLOW NAIL SYNDROME
YERSINIOSIS
YIM-EBBIN SYNDROME
WIDDEMANN-RAUTENSTRAUCH SYNDROME
WHIPPLE DISEASE
WHITAKER SYNDROME
VITILIGO
TULAREMIA
TUNGIASIS
TURCOT SYNDROME
TUNER-KIESER SYNDROME
TYPHOID
TYPHUS
TYROSINEMIA
TICK PARALYSIS
TAURODONTISM
TAYBI SYNDROME
TAY-SACHS DISEASE
TELANGIECTASIA
TERATOMA
TETANUS
SUGARMAN SYNDROME
SUSAC SYNDROME
SPINAL SHOCK
SPIROCHETES DISEASE
SPIRURIDA INFECTIONS
SPLENOMEGALY
SPOROTRICHOSIS
SPOTTED FEVER
SPRENGEL DEFORMITY
STAPHYLOCOCCAL INFECTION
STARGARDT DISEASE
STEIN-LEVENTHAL SYNDROME
STERNAL CLEFT
STEVENS-JOHNSON SYNDROME
STICKLER SYNDROME
STIFF PERSON SYNDROME
STIFF SKIN SYNDROME
STILL'S DISEASE
STIMMLER SYNDROME
STRABISMUS
STRATTON-PARKER SYNDROME
STERP THROAT
STRONGYLOIDIASIS
STRUDWICK SYNDROME
STRUMPELL-LORRAIN DISEASE
SPHEROCYTOSIS
SHINGOLIPIDOSIS
SNEDDON'S SYNDROME
SOMATIZATION DISORDER
SOTOS SYNDROME
SPASTIC PARAPLEGIA
SHIGELLOSIS
SHINGLES
SHORT BOWEL SYNDROME
SEXUAL AVERSION DISORDER
SENTER SYNDROME
SEPSIS
SEPTIC SHOCK
SERUM SICKNESS
SETLEIS SYNDROME
SEMINOMA
SENSENBRENNER SYNDROME
SENSORY NEUROPATHY
SEAVER CASSIDY SYNDROME
SEBOCYSTOMATOSIS
SECERNENTEA INFECTIONS
SECKEL SYNDROME
SELECTIVE MUTISM
SELENIUM POISONING
RETT SYNDROME
REPERFUSION INJURY
RESPIRATORY DISTRESS SYNDROME
RESTLESS LEGS SYNDROME
RETINA DISORDER
RETINOPATHY
REFSUM DISEASE
REIFENSTEIN SYNDROME
REITER'S SYNDROME
RAINE SYNDROME
RANBAM HASHARON SYNDROME
RAMOS-ARROYO SYNDROME
RAPADILINO SYNDROME
RAPP-HODGKIN SYNDROME
RAPUNZEL SYNDROME
PAYNAUD'S DISEASE
RABIES
RABSON-MENDENHALL SYNDROME
PROTEUS SYNDROME
PRUNE BELLY SYNDROME
PSEUDO-GAUCHER DISEASE
PSITTACOSIS
PSORIASIS
PSYCHOSIS
PTERYGIUM
PTOSIS
PUBIC LICE
PUERPERAL FEVER
PULMONARY DISEASE
PULMONARY EDEMA
PURPURA
PURTILO SYNDROME
PYAEMIA
PYELONEPHRITIS
PYOMYOSITIS
PYROSIS
PROSTATITIS
PROCTITIS
PROGERIA
PROGEROID SYNDROME
PROSOPAMNESIA
PRESBYCUSIS
PRESBYOPIA
PRIMEROSE SYNDROME
POTTER DISEASE
PLEURAL EFFUSION
PLEURITIS
PLUM SYNDROME
PLUMMER-VINSON SYNDROME
PERITONITIS
PERNIOSIS
PERIODIC DISEASE
PERIODONTAL DISEASE
PEMPHIGUS
PENDRED SYNDROME
PENTOSURIA
PEDICULOSIS
PATAU SYNDROME
PARONYCHIA
PARRY-ROMBERG SYNDROME
PARSONAGE-TURNER SYNDROME
PARURESIS
PASHAYAN SYNDROME
PARKES WEBER SYNDROME
PARAPHILIA
PARAPLEGIA
PANNICULITIS
PAPILLEDEMA
PAPILLON-LEFEVRE SYNDROME
PAPILLITIS
PARAGANGLIOMA
PARAMYOTONIA CONGENITA
PANCREATITIS
PANHYPOPITUITARISM
OSTEOPETROSIS
OCCIPITAL HORN SYNDROME
OCHOA SYNDROME
OCHRONOSIS
NOCARDIOSIS
NOONAN SYNDROME
NORRIE DISEASE
NORUM DISEASE
NUCHAL BLEB
NYSTAGMUS
NIEMANN-PICK DISEASE
NEUROSYPHILIS
NEURAMINIDASE DEFICIENCY
NEURASTHENIA
NEUROBLASTOMA
NEUROFIBROMA
NEUROFIBROMATOSIS
NARCOLEPSY
NASOPHARYNGITIS
MULTIPLE SCLEROSIS
MOUNIER-KUHN SYNDROME
MOUNT-REBACK SUNDROME
MOYAMOYA DISEASE
MUCHA-HABERMANN DISEASE
MUCKLE-WELLS SYNDROME
MUCOLIPIDOSIS
MUCOPOLYSACCHARIDOSIS
MUCORMYCOSIS
MUENKE SYNDROME
MILLER-FISHER SYNDROME
MINAMATA DISEASE
METACHONDROMATOSIS
METAGERIA
MEVALONICACIDURIA
MICHELIN TIRE BABY SYNDROME
MICHELS CASKEY SYNDROME
MICKELSON SYNDROME
MICROCEPHALY
MICROCORIA
MICROENCEPHALY
MICROINFRACT
MICROPHTHALMIA
MICROSPORIDIOSIS
MEGADUODENUM
MEIGE SYNDROME
MELEDA SYNDROME
MELIOIDOSIS
MELKERSSON-ROSENTHAL SYNDROME
MACKEL SYNDROME
MADELUNG'S DISEASE
MAFFUCCI SYNDROME
MACROGLOSSIA
MACULAR DEGENERATION
LYNGSTADAAS SYNDROME
LUPUS ERYTHEMATOSUS
LYELL'S SYNDROME
LYME DISEASE
LYMPHEDEMA
LYMPHOMA
LEUKODYSTROPHY
LEUKOMALACIA
LEVATOR SYNDROME
LEVINE-CRICHLEY SYNDROME
LEBER'S DISEASE
LEDDERHOSE DISEASE
LEGIONELLOSIS
LEIGH DISEASE
LEINER DISEASE
LEIOMYOMA
LEIOMYOMATOSIS
LEISHMANIASIS
LEMIERRE'S SYNDROME
ISOSPOROSIASIS
IVEMARK SYNDROME
JACKSON-WEISS SYNDROME
JACOBSEN SYNDROME
ISAACS SYNDROME
IODINE DEFICIENCY
IRIDOCYCLITIS
IRITIS
INSULINOMA
INTOEING
INFLUENZA
HYPERTHERMIA
HURLER SYNDROME
HUTCHINSON INCISORS
HYDATIDIFORM MOLE
HYDATIDOSIS
HYDRANENCEPHALY
HYDROCEPHALUS
HYDROLETHALUS SYNDROME
HYDROPS FETALIS
HYMENOLEPIASIS
HERPES SIMPLEX
HEPATORENAL SYNDROME
HEMORROID
HELMINTHIASIS
HEMATOCOLPOS
HEMOCHROMATOSIS
HEART BLOCK
HANHART SYNDROME
HARTNUP DISEASE
HAIRY CELL LEUKEMIA
HAIRY TONGUE
HAGEMAN FACTOR DEFICIENCY
HAILEY-HAILEY DISEASE
GUILLAIN-BARRE SYNDROME
GYNECOMASTIA
GLYCOGENOSIS
GLYCOSURIA
GOTIRE
GOLDENHAR SYNDROME
GLAUCOMA
GILOBLASTOMA
GILOMA
GLOSSODYNIA
GLUCAGONOMA
GLUTARICACIDURIA
GITELMAN SYNDROME
GITTINGS SYNDROME
GIARDIASIS
GIGANTISM
GILBERT'S SYNDROME
GIANOTTI-CROSTI SYNDROME
GENU VARUM
GERMAN SYNDROME
GERSTMANN SYNDROME
GENEE-WIEDEMANN SYNDROME
GALACTORRHEA
GALACTOCOELE
GALACTOKINASE DEFICIENCY
GALACTOSEMIA
GALLOWAY MOWAT SYNDROME
GANGLIOGLIOMA
GANGLIOSIDOSIS
GANSER SYNDROME
GARDNER-DIAMOND SYNDROME
GASTRIC LYMPHOMA
GASTROENTERITIS
GAUCHER DISEASE
GELINEAU DISEASE
GEMSS SYNDROME
FRUCTOSEMIA
FRUCTOSURIA
FUCOSIDOSIS
FUGUE STATE
FUMARASE DEFICIENCY
FOUNTAIN SYNDROME
ESOPHAGEAL DISORDER
ESOPHORIA
ESOTROPIA
EUMYCETOMA
EVAN'S SYNDROME
EWING'S SARCOMA
EXENCEPHALY
ERB-DUCHENNE PALSY
ERDHEIM DISEASE
ERYSIPELAS
ETYTHERMALGIA
ERYTHROMELAGIA
DRACUNCULIASIS
DUANE SYNDROME
DUBIN-JOHNSON SYNDROME
DIASTEMATOMYELIA
